Node,"Local Authority","EV strategy","Fleet Engagement","Fleet Resources",Email,"Percentage Yes","Percentage No","Percentage in draft","Clear engagement","No evidence of engagement","Some/limited engagement","Clear contact and no support materials/process","Clear contact and support materials/process","No clear contact and no support materials/process","No clear contact and support materials/process"
"Forest of Dean",Gloucestershire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",electricvehicles@gloucestershire.gov.uk,37,31,32,3,40,57,17,21,33,29
Wycombe,Buckinghamshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",evcharging@buckinghamshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"West Bromwich West",Sandwell,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Kester.sleeman@blackcountrytransport.org.uk,37,31,32,3,40,57,17,21,33,29
"Carmarthen West and South Pembrokeshire",Pembrokeshire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Braintree,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
Chorley,Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Aberdeenshire and Kincardine",Aberdeenshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",fleet@aberdeenshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Newport West",Newport,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Gordon,Aberdeenshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",fleet@aberdeenshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Fylde,Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Liverpool, Walton",Liverpool,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Stephen.rimmer@liverpool.gov.uk,37,31,32,3,40,57,17,21,33,29
"Cumbernauld, Kilsyth and Kirkintilloch East","North Lanarkshire","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Colchester,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Belfast South",Belfast,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Norfolk",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Falkirk,Falkirk,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",adekoyejo.olugbile@falkirk.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bridgwater and West Somerset",Somerset,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",climateemergency@somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
"Blackpool North and Cleveleys",Blackpool,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bexleyheath and Crayford",Bexley,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Wells,Somerset,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",climateemergency@somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
Ogmore,Bridgend,No,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",Janine.Nightingale@bridgend.gov.uk,37,31,32,3,40,57,17,21,33,29
"Perth and North Perthshire","Perth and Kinross",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Battersea,Wandsworth,Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Gravesham,Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"South Basildon and East Thurrock",Thurrock,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Suffolk",Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
Ludlow,Shropshire,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"North Durham","County Durham",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tracy.millmore@durham.gov.uk,37,31,32,3,40,57,17,21,33,29
Lincoln,Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Louth and Horncastle",Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hornsey and Wood Green",Haringey,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"North Warwickshire",Warwickshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",tpu@warwickshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Halesowen and Rowley Regis",Dudley,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Liverpool, Wavertree",Liverpool,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Stephen.rimmer@liverpool.gov.uk,37,31,32,3,40,57,17,21,33,29
"Hertford and Stortford",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Richmond Park","Kingston upon Thames",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",jayne.dando@kingston.gov.uk,37,31,32,3,40,57,17,21,33,29
Workington,Cumbria,No,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Broxbourne,Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"North West Durham","County Durham",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tracy.millmore@durham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bristol West","Bristol City of",No,"Substantial evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"North West Leicestershire",Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Norwich North",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Shipley,Bradford,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eccu@bradford.gov.uk,37,31,32,3,40,57,17,21,33,29
"The Wrekin","Telford and Wrekin",Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Coatbridge, Chryston and Bellshill","North Lanarkshire","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"East Hampshire",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Bromsgrove,Worcestershire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Exeter,Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Poplar and Limehouse","Tower Hamlets",Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Ealing North",Ealing,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Erith and Thamesmead",Bexley,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Arundel and South Downs","West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
Midlothian,Midlothian,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Derbyshire Dales",Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Gloucester,Gloucestershire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",electricvehicles@gloucestershire.gov.uk,37,31,32,3,40,57,17,21,33,29
"The Cotswolds",Gloucestershire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",electricvehicles@gloucestershire.gov.uk,37,31,32,3,40,57,17,21,33,29
Eddisbury,"Cheshire West and Chester","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Enfield North",Enfield,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Suffolk",Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
"Batley and Spen",Kirklees,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Electric.Vehicles@kirklees.gov.uk,37,31,32,3,40,57,17,21,33,29
"Ross, Skye and Lochaber",Highland,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Gosport,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Tamworth,Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bolton South East",Bolton,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Crawley,"West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
"East Surrey",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
"Finchley and Golders Green",Barnet,"In draft","No evidence of engagement or consideration of fleet","Clear contact and support materials/process",EVCharging@barnet.gov.uk,37,31,32,3,40,57,17,21,33,29
Salisbury,Wiltshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact but no support materials/process",adam.stephens@wiltshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Glasgow South West","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
"Richmond (Yorks)","North Yorkshire","In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ltp@northyorks.gov.uk,37,31,32,3,40,57,17,21,33,29
"Chelsea and Fulham","Hammersmith and Fulham","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Mohammed.Chibou@lbhf.gov.uk,37,31,32,3,40,57,17,21,33,29
"Inverness, Nairn, Badenoch and Strathspey",Highland,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"North West Cambridgeshire",Cambridgeshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Devizes,Wiltshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact but no support materials/process",adam.stephens@wiltshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Eastleigh,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Putney,Wandsworth,Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Blackpool South",Blackpool,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Strangford,"Ards and North Down","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Reigate,Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
Stirling,Stirling,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",evchargers@stirling.gov.uk,37,31,32,3,40,57,17,21,33,29
"Sleaford and North Hykeham",Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Eastbourne,"East Sussex",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Knowsley,Knowsley,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"East Ham",Newham,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricchargers@newham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Dudley South",Dudley,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Leeds East",Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Edgbaston",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Swindon",Swindon,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bishop Auckland","County Durham",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tracy.millmore@durham.gov.uk,37,31,32,3,40,57,17,21,33,29
"East Antrim","Antrim and Newtownabbey",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Northamptonshire","West Northamptonshire",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Camberwell and Peckham",Southwark,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Kingston upon Hull North","Kingston upon Hull City of",No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hereford and South Herefordshire","Herefordshire County of","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Coventry North West",Coventry,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",shamala.evans-gadgil@coventry.gov.uk,37,31,32,3,40,57,17,21,33,29
"Brecon and Radnorshire",Powys,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Central Ayrshire","South Ayrshire",Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Hertsmere,Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Northampton North","West Northamptonshire",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Meon Valley",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Pudsey,Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hackney North and Stoke Newington",Hackney,Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bury North",Bury,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",J.rossistephenson@bury.gov.uk,37,31,32,3,40,57,17,21,33,29
"South Staffordshire",Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Maldon,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Northampton South","West Northamptonshire",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"St Ives",Cornwall,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",driveev2@cornwall.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bury St Edmunds",Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
"Paisley and Renfrewshire North",Renfrewshire,No,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",Stephen.heron@renfrewshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Islington North",Islington,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",EVcharging@islington.gov.uk.,37,31,32,3,40,57,17,21,33,29
"Kirkcaldy and Cowdenbeath",Fife,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jane.findlay@fife.gov.uk,37,31,32,3,40,57,17,21,33,29
Torbay,Torbay,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"High Peak",Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Newry and Armagh","Newry Mourne and Down",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Streatham,Lambeth,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"North East Hertfordshire",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Motherwell and Wishaw","North Lanarkshire","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Darlington,Darlington,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Penrith and The Border",Cumbria,No,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Washington and Sunderland West",Sunderland,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",craig.mordue@sunderland.gov.uk,37,31,32,3,40,57,17,21,33,29
"Fermanagh and South Tyrone","Fermanagh and Omagh",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"East Kilbride, Strathaven and Lesmahagow","South Lanarkshire",No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Congleton,"Cheshire East","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",richard.hibbert@cheshireeast.gov.uk.,37,31,32,3,40,57,17,21,33,29
Witham,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
Poole,"Bournemouth Christchurch and Poole",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process","john.mcvey@bcpcouncil.gov.uk and Francesca.powell@bcpcouncil.gov.uk",37,31,32,3,40,57,17,21,33,29
Sevenoaks,Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Faversham and Mid Kent",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Edinburgh West","City of Edinburgh",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@edinburgh.gov.uk,37,31,32,3,40,57,17,21,33,29
Broadland,Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South West Surrey",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
"South West Hertfordshire",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Gainsborough,Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Newark,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Winchester,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Daventry,"West Northamptonshire",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Ashfield,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Mid Norfolk",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hastings and Rye","East Sussex",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"East Dunbartonshire","East Dunbartonshire",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",christopher.mcgeough@eastdunbarton.gov.uk,37,31,32,3,40,57,17,21,33,29
"Salford and Eccles",Salford,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Hyndburn,Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Romford,Havering,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Down","Newry Mourne and Down",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Halton,Halton,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Leigh,Wigan,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",j.middlehurst@wigan.gov.uk,37,31,32,3,40,57,17,21,33,29
Newbury,"West Berkshire",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ev@westberks.gov.uk,37,31,32,3,40,57,17,21,33,29
Bosworth,Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bethnal Green and Bow","Tower Hamlets",Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Slough,Slough,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"North Down","Ards and North Down","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Nuneaton,Warwickshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",tpu@warwickshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Clacton,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Argyll and Bute","Argyll and Bute",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process","victoria.weir@argyll-bute.gov.uk and mark.calder@argyll-bute.gov.uk",37,31,32,3,40,57,17,21,33,29
"Bognor Regis and Littlehampton","West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Harwich and North Essex",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Oxford East",Oxfordshire,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",evteam@oxfordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Grantham and Stamford",Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Hall Green",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
Llanelli,Carmarthenshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tjevans@carmarthenshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Mole Valley",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
"Glasgow South","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Devon",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Lancashire",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Scunthorpe,"North Lincolnshire","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Edmonton,Enfield,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Tiverton and Honiton",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Worcestershire",Worcestershire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Lewes,"East Sussex",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Thurrock,Thurrock,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
